stationID,name,address,latitude,longitude,bonus,status,contract_name,bike_stands,available_bike_stands,available_bikes,last_update
349,FONSNY,FONSNY - AVENUE FONSNY EN FACE DES DEBOUCHES DES RUES COENRAETS ET J. CLAES,50.833444,4.334857,FALSE,OPEN,Bruxelles-Capitale,20,3,17,2018-03-03T17:39:58+00:00
252,BEMPT,BEMPT - CH DE NEERSTALLE DEVANT 333-335-337 / NEERSTALLESESTEENWEG 333-335-337,50.802563,4.315701,FALSE,OPEN,Bruxelles-Capitale,25,6,19,2018-03-03T17:39:47+00:00
152,PLACE DAILLY/DAILLYPLEIN,PLACE DAILLY / DAILLYPLEIN - PLACE DAILLY / DAILLYPLEIN 24 - 25,50.852389,4.387373,TRUE,OPEN,Bruxelles-Capitale,25,22,3,2018-03-03T17:40:02+00:00
131,JARDIN MASSART,JARDIN MASSART - AV HERMANN DEBROUXLAAN,50.81329,4.434751,FALSE,OPEN,Bruxelles-Capitale,25,8,17,2018-03-03T17:40:30+00:00
213,LA ROUE / HET RAD (FERM?E POUR MAINTENANCE),FERM?E POUR MAINTENANCE - LA ROUE / HET RAD - CH DE MONS 1100-1106 / BERGENSESTEENWEG 1100-1106,50.821018,4.293865,FALSE,CLOSED,Bruxelles-Capitale,15,0,0,2018-03-03T17:40:29+00:00
358,MADOUX,MADOUX - AVENUE DE TERVUREN FACE 403,50.82708,4.444795,FALSE,OPEN,Bruxelles-Capitale,25,4,21,2018-03-03T17:40:34+00:00
122,GARE D'ETTERBEEK,GARE D'ETTERBEEK/STATION VAN ETTERBEEK - BOULEVARD GENERAL JACQUES/GENERAAL JACQUESLAAN,50.822207,4.389325,TRUE,OPEN,Bruxelles-Capitale,30,17,13,2018-03-03T17:30:40+00:00
90,BROUSTIN,BROUSTIN - AV DE JETTE/ JETSELAAN 73 - 81,50.867448,4.326807,FALSE,OPEN,Bruxelles-Capitale,17,12,5,2018-03-03T17:30:48+00:00
135,PARC LACROIX/LACROIX PARK,PARC LACROIX / LACROIX PARK - AV PRINCESSE ELISABETH/PRINSES ELISABETHLAAN,50.872744,4.376647,FALSE,OPEN,Bruxelles-Capitale,25,18,7,2018-03-03T17:31:10+00:00
24,ROGIER / ROGIER,ROGIER - BOULEVARD DU JARDIN BOTANIQUE/KRUIDTUINLAAN,50.855268,4.358717,FALSE,OPEN,Bruxelles-Capitale,36,8,28,2018-03-03T17:31:01+00:00
183,LA CHASSE/JACHT,LA CHASSE/JACHT - AVENUE DES CASERNES/ KAZERNENLAAN 4 - 6,50.829928,4.390357,FALSE,OPEN,Bruxelles-Capitale,25,6,19,2018-03-03T17:30:45+00:00
263,MAISON COMMUNALE D'EVERE/EVERE GEMEENTEHUIS,MAISON COMMUNALE D'EVERE/ EVERE GEMEENTEHUIS - SQUARE HOEDEMAEKERS / HOEDEMAEKERSESQUARE 7-8,50.872002,4.403286,FALSE,OPEN,Bruxelles-Capitale,19,8,11,2018-03-03T17:31:06+00:00
186,GENOT,GENOT - CHAUSSEE DE GAND DEVANT 1033,50.861783,4.302607,FALSE,OPEN,Bruxelles-Capitale,20,13,7,2018-03-03T17:32:10+00:00
299,SAINT-ADRIEN,SAINT-ADRIEN - AV DU PESAGE N??21,50.80941,4.386541,FALSE,OPEN,Bruxelles-Capitale,20,9,11,2018-03-03T17:32:00+00:00
27,SQUARE ALBERT I / ALBERT I SQUARE,SQUARE ALBERT I / ALBERT I-SQUARE 25 - 26 - 27,50.838733,4.32176,FALSE,OPEN,Bruxelles-Capitale,25,11,14,2018-03-03T17:31:47+00:00
273,TAMARIS,TAMARIS - BD METTEWIE LAAN VOOR/FACE 71,50.854824,4.306209,FALSE,OPEN,Bruxelles-Capitale,25,10,12,2018-03-03T17:31:58+00:00
330,VANDERVELDE,VANDERVELDE - AVENUE EMILE VANDERVELDE 90,50.847546,4.450015,FALSE,OPEN,Bruxelles-Capitale,25,12,13,2018-03-03T17:31:54+00:00
295,COIN DU BALAI,COIN DU BALAI - AV DE LA FORESTERIE,50.793682,4.418497,FALSE,OPEN,Bruxelles-Capitale,25,14,11,2018-03-03T17:31:38+00:00
121,ETANGS / VIJVERS,ETANGS / VIJVERS - RUE GUILLAUME STOCQ (FACE AU N?? 1-3-5)/ GUILLAUME STOCQSTRAAT (TEGENOVER N?? 1-3-5),50.823986,4.37379,FALSE,OPEN,Bruxelles-Capitale,25,17,8,2018-03-03T17:32:06+00:00
244,BOIS DE LA CAMBRE,BOIS DE LA CAMBRE - AV WINSTON CHURCHIL 254 / WINSTON CHURCHILLAAN 254,50.81218,4.368321,TRUE,OPEN,Bruxelles-Capitale,20,10,10,2018-03-03T17:31:43+00:00
211,METRO CERIA,METRO CERIA - CH DE MONS (FACE AU 1292 a 1284) / BERGENSESTEENWEG (TEGENOVER 1292 TOT 1284),50.816528,4.290832,FALSE,OPEN,Bruxelles-Capitale,25,9,16,2018-03-03T17:33:27+00:00
105,DE HENNIN,DE HENNIN -  CHAUSSEE D'IXELLES/ELSENSE STEENWEG 254 - 260,50.829631,4.3692,TRUE,OPEN,Bruxelles-Capitale,20,12,8,2018-03-03T17:33:32+00:00
109,CHATELAIN/KASTELEIN,CHATELAIN/KASTELEIN - RUE DE L'AQUEDUC /AQUADUCTSTRAAT 115-117-119,50.824048,4.359896,FALSE,OPEN,Bruxelles-Capitale,25,11,14,2018-03-03T17:33:09+00:00
68,JEAN REY,JEAN REY - PLACE JEAN REY/JEAN REYPLAATS,50.840282,4.380131,FALSE,OPEN,Bruxelles-Capitale,33,15,18,2018-03-03T17:30:26+00:00
278,STADE / STADIUM,STADE / STADIUM - AVENUE HOUBA DE STROOPER / HOUBA DE STROOPERLAAN,50.894005,4.331902,FALSE,OPEN,Bruxelles-Capitale,25,7,18,2018-03-03T17:34:35+00:00
218,DELACROIX,DELACROIX - RUE LEON DELACROIX 1 a 7 / LEON DELACROIXSTRAAT 1 tot 7,50.845928,4.323812,FALSE,OPEN,Bruxelles-Capitale,25,12,13,2018-03-03T17:34:26+00:00
145,COTEAUX/WIJNHEUVELEN,COTEAUX/WIJNHEUVELEN - AVENUE ROGIER / ROGIERLAAN 128,50.859096,4.379117,FALSE,OPEN,Bruxelles-Capitale,25,17,8,2018-03-03T17:33:56+00:00
172,AEROPOLIS,AEROPOLIS - CHAUSSEE D'HAECHT (FACE 586) / HAACHTSESTEENWEG (TEGENOVER 586),50.869764,4.388191,FALSE,OPEN,Bruxelles-Capitale,25,8,17,2018-03-03T17:34:18+00:00
251,PAOLA,PAOLA - RUE VICTOR ALLARD FACE 222 / VICTOR ALLARD STRAAT VOOR 222,50.800377,4.326985,FALSE,OPEN,Bruxelles-Capitale,20,10,10,2018-03-03T17:34:29+00:00
125,GEORGES BRUGMANN,GEORGES BRUGMANN - PLACE GEORGES BRUGMANN/GEORGES BRUGMANNPLEIN N?? 10 - 11,50.817392,4.354105,TRUE,OPEN,Bruxelles-Capitale,25,12,12,2018-03-03T17:34:33+00:00
180,JOURDAN,JOURDAN - RUE FROISSART (FACE 3 - 5) / FROISSARTSTRAAT (TEGENOVER 3 - 5),50.837726,4.381565,FALSE,OPEN,Bruxelles-Capitale,25,8,17,2018-03-03T17:34:32+00:00
339,MEUDON,MEUDON - SQUARE MEUDON,50.845365,4.41788,FALSE,OPEN,Bruxelles-Capitale,22,0,22,2018-03-03T17:36:44+00:00
8,ARTS-LOI / KUNST-WET,ARTS-LOI/KUNST-WET -  AVENUE DES ARTS/KUNSTLAAN 24,50.845683,4.368582,TRUE,OPEN,Bruxelles-Capitale,21,20,1,2018-03-03T17:36:37+00:00
356,CENTRE SPORTIF,CENTRE SPORTIF - AVENUE JULES DU JARDIN FACE AU N??45 (ROND POINT DU TIBET),50.829715,4.455151,FALSE,OPEN,Bruxelles-Capitale,16,7,8,2018-03-03T17:37:29+00:00
306,HEMBEEK,HEMBEEK - ANGLE AV DES CROIX DE FEU / VUURKRUISENLAAN 7-9,50.889603,4.373967,FALSE,OPEN,Bruxelles-Capitale,25,14,11,2018-03-03T17:38:17+00:00
294,WIENER,WIENER - PLACE WIENER 2 / WIENERPLAATS 2,50.798344,4.419014,FALSE,OPEN,Bruxelles-Capitale,25,6,18,2018-03-03T17:38:20+00:00
265,EVERE SHOPPING,EVERE SHOPPING - AV DES LOISIRS / VRIJETIJDSLAAN,50.867241,4.40287,FALSE,OPEN,Bruxelles-Capitale,25,7,18,2018-03-03T17:37:53+00:00
